job_title,publish,company,city,description,link,website
Business Analyst (all genders) bAV,vor 1 Woche,adesso SE,"Dortmund, Essen, Karlsruhe, Reutlingen, Düsseldorf, Bonn, Leipzig, Potsdam, Bremen, Paderborn","Als Business Analyst bist du ein wichtiger Bestandteil des Teams, unterstützt bei der Gestaltung einer Produktvision und erhebst Anforderungen.",https://www.stepstone.de/stellenangebote--Business-Analyst-all-genders-bAV-Dortmund-Essen-Karlsruhe-Reutlingen-Duesseldorf-Bonn-Leipzig-Potsdam-Bremen-Paderborn-adesso-SE--7853226-inline.html,stepstone
Financial Business Analyst / Controller (m/w/d),vor 1 Tag,L&S DEUTSCHLAND GmbH,Rödinghausen,"Unterstützung bei Design, Test und Implementierung der Business Intelligence zusammen mit externen Beratern und der internen IT * Kenntnisse in SAP One und Qlik sind wünschenswert",https://www.stepstone.de/stellenangebote--Financial-Business-Analyst-Controller-m-w-d-Roedinghausen-LS-DEUTSCHLAND-GmbH--8908471-inline.html,stepstone
IT Inhouse Consultant Business Intelligence / Data Analyst (m/w/d),vor 5 Tagen,Wilhelm Böllhoff GmbH & Co. KG,Bielefeld,Zur Stärkung unseres Unternehmensbereiches Wilhelm Böllhoff GmbH & Co. KG suchen wir für unseren Hauptsitz in Bielefeld Sie als IT Inhouse Consultant Intelligence / Data (m/w/d),https://www.stepstone.de/stellenangebote--IT-Inhouse-Consultant-Business-Intelligence-Data-Analyst-m-w-d-Bielefeld-Wilhelm-Boellhoff-GmbH-Co-KG--8891819-inline.html,stepstone
IT Business Analyst (m/w/d),vor 1 Woche,GOLDBECK GmbH,Bielefeld,"GOLDBECK GmbH * Bielefeld * Feste Anstellung * Vollzeit - GOLDBECK realisiert zukunftsweisende Immobilien in Europa. Wir verstehen Gebäude als Produkte und bieten alle Leistungen aus einer Hand: vom Design über den Bau bis zu Services im Betrieb. Aktuell beschäftigt unser Familienunternehmen mehr als 10.000 Mitarbeitende an über 90 Standorten bei einer Gesamtleistung von 4,1 Mrd. Euro. Unser Anspruch „building excellence“ steht dabei für Spitzenleistungen beim Planen, Bauen und Betreiben sowie die Weiterentwicklung unserer Talente – Zukunftsfähigkeit inklusive. Eine zukunftsorientierte Informationstechnologie stellt dabei eine wichtige Basis für unseren derzeitigen und künftigen Erfolg dar, weshalb modernste Hardware und Peripheriegeräte, eine aktuelle Entwicklungsumgebung sowie kurze Entscheidungswege für uns selbstverständlich sind. IT Inhouse Consultant (m/w/d) Auf",https://www.stepstone.de/stellenangebote--IT-Business-Analyst-m-w-d-Bielefeld-GOLDBECK-GmbH--8839228-inline.html,stepstone
Business Analyst (m/w/d) Production,vor 4 Wochen,GOLDBECK GmbH,Bielefeld,"GOLDBECK GmbH * Bielefeld * Feste Anstellung * Vollzeit - GOLDBECK realisiert zukunftsweisende Immobilien in Europa. Wir verstehen Gebäude als Produkte und bieten alle Leistungen aus einer Hand: vom Design über den Bau bis zu Services im Betrieb. Aktuell beschäftigt unser Familienunternehmen mehr als 10.000 Mitarbeitende an über 100 Standorten bei einer Gesamtleistung von rund 5 Mrd. Euro. Unser Anspruch „building excellence“ steht dabei für Spitzenleistungen beim Planen, Bauen und Betreiben sowie die Weiterentwicklung unserer Talente – Zukunftsfähigkeit inklusive. Eine zukunftsorientierte Informationstechnologie stellt dabei eine wichtige Basis für unseren derzeitigen und künftigen Erfolg dar, weshalb modernste Hardware und Peripheriegeräte, eine aktuelle Entwicklungsumgebung sowie kurze Entscheidungswege für uns selbstverständlich sind. Aufgaben * Analyse von Geschä",https://www.stepstone.de/stellenangebote--Business-Analyst-m-w-d-Production-Bielefeld-GOLDBECK-GmbH--8713487-inline.html,stepstone
Data / Business Analyst (m/w/d),vor 2 Stunden,eWolff GmbH,Bielefeld,"Finde Deine Rolle und verstärke unser Team Data Analytics als Data / Business Analyst (m/w/d) * mind. 1-3 Jahre Berufserfahrung in relevanten Bereichen (Datenanalyse, Intelligence, Consulting oder ähnliches)",https://www.stepstone.de/stellenangebote--Data-Business-Analyst-m-w-d-Bielefeld-eWolff-GmbH--8227460-inline.html,stepstone
(Junior) Business Analyst (m/w/d) im E-Commerce,vor 1 Woche,Reply,"Berlin, Bremen, Düsseldorf, Frankfurt, Gütersloh, Hamburg, München, remote",Als Business Analyst bist du von Anfang an in spannende SAP CX Projekte eingebunden und entwickelst zusammen mit deinen Teamkollegen moderne IT-Lösungen für unsere namenhaften Kunden,https://www.stepstone.de/stellenangebote--Junior-Business-Analyst-m-w-d-im-E-Commerce-Berlin-Bremen-Duesseldorf-Frankfurt-Guetersloh-Hamburg-Muenchen-remote-Reply--8731327-inline.html,stepstone
ERP Specialist / Business Data Analyst (m/w/d),vor 2 Wochen,DAYTON PROGRESS GmbH,"Hamburg, Köln, Bielefeld, Hannover, Berlin, Leipzig, Frankfurt am Main, Mannheim, München,",Aktuell sucht Dayton Progress einen ERP Specialist & Business Data Analyst (m/w/d).,https://www.stepstone.de/stellenangebote--ERP-Specialist-Business-Data-Analyst-m-w-d-Hamburg-Koeln-Bielefeld-Hannover-Berlin-Leipzig-Frankfurt-am-Main-Mannheim-Muenchen-DAYTON-PROGRESS-GmbH--8812571-inline.html,stepstone
Duales Studium Wirtschaftsinformatik (B.Sc.),vor 3 Wochen,IU Internationale Hochschule,"Augsburg, Berlin, Bielefeld, Braunschweig, Bremen, Dortmund, Dresden, Düsseldorf, Erfurt, Essen",Business Analyst:in * Digital Business,https://www.stepstone.de/stellenangebote--Duales-Studium-Wirtschaftsinformatik-B-Sc-Augsburg-Berlin-Bielefeld-Braunschweig-Bremen-Dortmund-Dresden-Duesseldorf-Erfurt-Essen-IU-Internationale-Hochschule--8830256-inline.html,stepstone
Duales Studium Online-Marketing und E-Commerce – Beginn 2023,vor 3 Wochen,Franz Kaldewei GmbH & Co. KG,Ahlen,"Franz Kaldewei GmbH & Co. KG * Ahlen * Ausbildung, Studium * Vollzeit - Starte durch in Deine Zukunft - KALDEWEI ist ein deutsches inhabergeführtes Familienunternehmen mit etwa 800 Mitarbeitenden weltweit. Seit über 100 Jahren sind wir Vorreiter bei der Herstellung von hochwertigen Badlösungen, die modernen Luxus mit nachhaltigem Denken, Wirtschaften und Handeln vereinen. Unsere Duschflächen, Badewannen und Waschtische aus KALDEWEI Stahl-Emaille produzieren wir ausschließlich an unserem alleinigen Produktionsstandort in Ahlen. Aus Ahlen exportieren wir unsere hochwertigen Badlösungen „Made in Germany“ in die ganze Welt. Am Ende ihrer langen Lebensdauer können unsere Badlösungen aus Stahl-Emaille zu 100 Prozent dem Wertstoffkreislauf wieder zugeführt werden. KALDEWEI hat sich auf den Weg gemacht klimaneutral zu produzieren - aus gelebter Verantwortung gegenüber der Umw",https://www.stepstone.de/stellenangebote--Duales-Studium-Online-Marketing-und-E-Commerce-Beginn-2023-Ahlen-Franz-Kaldewei-GmbH-Co-KG--8823862-inline.html,stepstone
